epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,7618.16,0.52458,0.36556,0.00857,0.8477,0.84189,0.86403,0.7846,0.54743,0.3724,0.01063,0.000191875,0.000191875,0.000191875
72,7718.76,0.52462,0.35994,0.00851,0.85036,0.83136,0.862,0.77692,0.54512,0.38919,0.01057,0.000185688,0.000185688,0.000185688
73,7818.03,0.52112,0.36579,0.00839,0.8428,0.8458,0.86289,0.78126,0.54742,0.37142,0.01058,0.0001795,0.0001795,0.0001795
74,7919.79,0.5357,0.36732,0.00864,0.86436,0.83585,0.87203,0.79152,0.55691,0.35124,0.01088,0.000173313,0.000173313,0.000173313
75,8028.53,0.52472,0.36986,0.00842,0.85879,0.82329,0.8702,0.79205,0.54743,0.3525,0.01065,0.000167125,0.000167125,0.000167125
76,8134.78,0.50217,0.35377,0.0081,0.93299,0.84361,0.87217,0.78808,0.54672,0.37539,0.01058,0.000160938,0.000160938,0.000160938
77,8241.79,0.51413,0.35995,0.00819,0.93056,0.8413,0.86937,0.78901,0.54468,0.35873,0.01062,0.00015475,0.00015475,0.00015475
78,8346.67,0.51642,0.34777,0.00808,0.84555,0.84165,0.87416,0.79241,0.55135,0.36521,0.01068,0.000148563,0.000148563,0.000148563
79,8447.18,0.50558,0.34861,0.00815,0.85226,0.84,0.86751,0.7897,0.54231,0.37325,0.01045,0.000142375,0.000142375,0.000142375
80,8552.4,0.50277,0.33892,0.00811,0.85517,0.83471,0.86487,0.78957,0.54311,0.37794,0.01047,0.000136187,0.000136187,0.000136187
81,8660.36,0.49851,0.33757,0.00809,0.84896,0.84625,0.87097,0.79015,0.54603,0.38071,0.01053,0.00013,0.00013,0.00013
82,8767.91,0.49793,0.33384,0.00784,0.84829,0.84015,0.87129,0.79404,0.54053,0.36158,0.01047,0.000123812,0.000123812,0.000123812
83,8874.35,0.49502,0.33324,0.00773,0.83243,0.83925,0.86138,0.78287,0.54216,0.38973,0.01046,0.000117625,0.000117625,0.000117625
84,8983.68,0.49172,0.32945,0.00783,0.85094,0.83375,0.86144,0.78794,0.54312,0.37913,0.01055,0.000111438,0.000111438,0.000111438
85,9089.22,0.49269,0.33152,0.00781,0.84192,0.8395,0.8634,0.78912,0.54124,0.39425,0.01045,0.00010525,0.00010525,0.00010525
86,9193.62,0.47937,0.3158,0.00771,0.82587,0.85938,0.86641,0.79114,0.53464,0.37706,0.01029,9.90625e-05,9.90625e-05,9.90625e-05
87,9298.47,0.47324,0.31715,0.0076,0.85472,0.8411,0.86964,0.79525,0.54418,0.38458,0.01051,9.2875e-05,9.2875e-05,9.2875e-05
88,9401.9,0.49042,0.34083,0.00786,0.83201,0.84971,0.86919,0.79253,0.53678,0.37866,0.01032,8.66875e-05,8.66875e-05,8.66875e-05
89,9503.6,0.48507,0.32139,0.00759,0.84392,0.84051,0.86918,0.79608,0.53137,0.36818,0.01017,8.05e-05,8.05e-05,8.05e-05
90,9606.99,0.48644,0.32493,0.00789,0.8545,0.82754,0.87021,0.79387,0.53406,0.38104,0.01024,7.43125e-05,7.43125e-05,7.43125e-05
91,9767.52,0.41426,0.22158,0.00933,0.84994,0.84273,0.86948,0.789,0.54731,0.41398,0.01057,6.8125e-05,6.8125e-05,6.8125e-05
92,9866.18,0.39758,0.18524,0.00885,0.84689,0.84534,0.86943,0.78888,0.53389,0.39156,0.01024,6.19375e-05,6.19375e-05,6.19375e-05
93,9965.57,0.39831,0.18803,0.00884,0.84816,0.84743,0.86956,0.78831,0.53897,0.37814,0.01035,5.575e-05,5.575e-05,5.575e-05
94,10060.7,0.39252,0.18251,0.00851,0.84058,0.84147,0.8717,0.79131,0.53601,0.37935,0.01026,4.95625e-05,4.95625e-05,4.95625e-05
95,10156.1,0.38949,0.16864,0.00844,0.84662,0.8406,0.87242,0.79431,0.53234,0.39229,0.01018,4.3375e-05,4.3375e-05,4.3375e-05
96,10256.4,0.3851,0.17067,0.00827,0.83551,0.85271,0.87261,0.79576,0.53386,0.39025,0.01019,3.71875e-05,3.71875e-05,3.71875e-05
97,10357.1,0.38099,0.15962,0.00835,0.84297,0.85051,0.87283,0.79372,0.5347,0.38685,0.01021,3.1e-05,3.1e-05,3.1e-05
98,10456.2,0.38187,0.16373,0.00818,0.84146,0.84911,0.872,0.79423,0.53547,0.37993,0.01022,2.48125e-05,2.48125e-05,2.48125e-05
99,10559.6,0.37872,0.17042,0.00815,0.84037,0.84034,0.87121,0.79381,0.53543,0.38733,0.01024,1.8625e-05,1.8625e-05,1.8625e-05
100,10660.1,0.38003,0.16804,0.00817,0.85357,0.83402,0.87343,0.79576,0.53565,0.38732,0.01022,1.24375e-05,1.24375e-05,1.24375e-05
