epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,24182.1,0.3678,0.40094,0.2596,0.00377,0.22311,0.98743,0.97444,0.99422,0.97185,0.98589,0.97307,0.99378,0.97177,0.26728,0.34266,0.1237,0.00556,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,24498.5,0.36568,0.39763,0.26466,0.00368,0.21821,0.98744,0.97676,0.99399,0.97213,0.98611,0.97278,0.9936,0.97117,0.26668,0.34265,0.12593,0.00553,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,24814.5,0.361,0.39615,0.26387,0.00365,0.2291,0.98387,0.98273,0.99424,0.97243,0.98611,0.97513,0.99376,0.97185,0.26749,0.34533,0.12152,0.00558,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,25135,0.35752,0.39036,0.25487,0.00361,0.21868,0.98733,0.98077,0.99432,0.97227,0.98899,0.97388,0.99377,0.97266,0.26859,0.34154,0.11746,0.00558,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,25451.4,0.36281,0.40017,0.25967,0.00369,0.21851,0.98462,0.98312,0.99426,0.97296,0.98322,0.98004,0.99375,0.97293,0.26658,0.34025,0.12015,0.00552,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,25769.7,0.35546,0.39214,0.24982,0.00354,0.20533,0.98664,0.98063,0.99429,0.97254,0.98408,0.97823,0.99397,0.97275,0.26468,0.3374,0.12136,0.00549,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,26087.8,0.34979,0.38217,0.24297,0.00349,0.19597,0.98296,0.98138,0.99422,0.97252,0.98627,0.97415,0.99331,0.9726,0.26469,0.34528,0.1223,0.00551,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,26404.9,0.35151,0.38624,0.2494,0.0035,0.20888,0.98881,0.97905,0.99442,0.97306,0.99035,0.97516,0.9938,0.9726,0.26311,0.34935,0.11794,0.00548,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,26721.5,0.34635,0.3862,0.24082,0.00349,0.20121,0.98841,0.98089,0.99436,0.97356,0.98767,0.9769,0.99356,0.97265,0.26152,0.34516,0.12026,0.00544,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,27038.1,0.34603,0.38631,0.24069,0.00347,0.20621,0.98986,0.97865,0.9944,0.97396,0.98823,0.97704,0.99362,0.97348,0.26202,0.34673,0.11937,0.00545,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,27355.6,0.34448,0.38773,0.23614,0.0035,0.19732,0.98774,0.9835,0.99444,0.9743,0.98575,0.97931,0.99372,0.97362,0.26154,0.3472,0.11698,0.00543,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,27673.4,0.33862,0.3751,0.23825,0.00341,0.19384,0.98953,0.97963,0.99437,0.97372,0.98829,0.97691,0.99339,0.97338,0.26155,0.34958,0.11901,0.00541,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,27990.3,0.34306,0.38087,0.23106,0.00341,0.18239,0.98726,0.98299,0.99445,0.97398,0.98605,0.97798,0.99346,0.97358,0.26198,0.35061,0.1152,0.00542,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,28306.8,0.33975,0.38399,0.22744,0.00339,0.1868,0.98806,0.98449,0.99451,0.97423,0.98609,0.9807,0.99354,0.9738,0.26208,0.35006,0.11469,0.00543,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,28624.2,0.3388,0.38118,0.22925,0.00335,0.18724,0.98384,0.98542,0.99442,0.97429,0.98422,0.97977,0.99345,0.97386,0.26162,0.34858,0.11607,0.0054,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,28944,0.26957,0.3027,0.13927,0.00478,0.07037,0.99015,0.97806,0.99438,0.9742,0.98781,0.97535,0.99359,0.97396,0.26303,0.3592,0.11659,0.00545,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,29256.4,0.2587,0.29216,0.12394,0.00447,0.05627,0.98982,0.98084,0.9945,0.97384,0.98875,0.97704,0.99367,0.97389,0.26363,0.36199,0.11488,0.00547,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
