epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,128549,0.46931,0.46462,0.00725,0.86822,0.86487,0.8876,0.8104,0.43207,0.33304,0.0075,0.00868145,0.00289382,0.00868145,0.00289382,0.00868145,0.00289382,0.00868145,0.00289382
74,130029,0.465,0.439,0.00725,0.85915,0.86927,0.88161,0.80668,0.43059,0.35134,0.00744,0.00838536,0.00279512,0.00838536,0.00279512,0.00838536,0.00279512,0.00838536,0.00279512
75,131640,0.46042,0.43963,0.00716,0.8722,0.86872,0.87867,0.80086,0.43145,0.35124,0.00745,0.00808927,0.00269642,0.00808927,0.00269642,0.00808927,0.00269642,0.00808927,0.00269642
76,133707,0.4544,0.43767,0.00696,0.86689,0.86793,0.87544,0.80073,0.43078,0.34563,0.00742,0.00779318,0.00259773,0.00779318,0.00259773,0.00779318,0.00259773,0.00779318,0.00259773
77,135144,0.45818,0.44789,0.0072,0.86826,0.86152,0.87474,0.80167,0.42597,0.3665,0.0073,0.00749708,0.00249903,0.00749708,0.00249903,0.00749708,0.00249903,0.00749708,0.00249903
78,137274,0.45855,0.43477,0.00711,0.87058,0.86268,0.87907,0.805,0.42969,0.34993,0.00746,0.00720099,0.00240033,0.00720099,0.00240033,0.00720099,0.00240033,0.00720099,0.00240033
79,139026,0.45124,0.42479,0.00695,0.94948,0.86769,0.87796,0.80111,0.42704,0.3409,0.00742,0.0069049,0.00230163,0.0069049,0.00230163,0.0069049,0.00230163,0.0069049,0.00230163
80,140698,0.44211,0.41393,0.00684,0.93556,0.8727,0.87956,0.80374,0.42965,0.34713,0.00745,0.00660881,0.00220294,0.00660881,0.00220294,0.00660881,0.00220294,0.00660881,0.00220294
81,142212,0.43465,0.40971,0.00671,0.95624,0.86962,0.88804,0.81532,0.42593,0.34115,0.00729,0.00631272,0.00210424,0.00631272,0.00210424,0.00631272,0.00210424,0.00631272,0.00210424
82,144568,0.43685,0.40202,0.00673,0.96364,0.86581,0.88382,0.81147,0.42777,0.34386,0.00733,0.00601663,0.00200554,0.00601663,0.00200554,0.00601663,0.00200554,0.00601663,0.00200554
83,146247,0.42815,0.40152,0.00658,0.96368,0.86364,0.88156,0.81152,0.4275,0.33974,0.0073,0.00572054,0.00190685,0.00572054,0.00190685,0.00572054,0.00190685,0.00572054,0.00190685
84,147793,0.42682,0.40236,0.00648,0.86577,0.87016,0.87884,0.81208,0.42579,0.33644,0.00729,0.00542445,0.00180815,0.00542445,0.00180815,0.00542445,0.00180815,0.00542445,0.00180815
85,149285,0.41888,0.38914,0.00641,0.87955,0.8668,0.8812,0.8135,0.42556,0.33326,0.00726,0.00512836,0.00170945,0.00512836,0.00170945,0.00512836,0.00170945,0.00512836,0.00170945
86,151225,0.4164,0.38133,0.00632,0.96093,0.85926,0.88055,0.8114,0.42457,0.3262,0.00727,0.00483227,0.00161076,0.00483227,0.00161076,0.00483227,0.00161076,0.00483227,0.00161076
